,item_desc,price,link,app_type
0,microwave works great $60 or best offer,60,https://charlottesville.craigslist.org/app/d/charlottesville-microwave-works-great/7787538550.html,microwave
1,"new frigidaire 30"" single stainless wall oven",600,https://charlottesville.craigslist.org/app/d/charlottesville-new-frigidaire-30/7788450474.html,oven
2,dryer,250,https://charlottesville.craigslist.org/app/d/louisa-dryer/7789900557.html,dryer
3,"""thor"" electric range",1400,https://charlottesville.craigslist.org/app/d/somerset-thor-electric-range/7783248278.html,missing
4,portable clothing washer,130,https://charlottesville.craigslist.org/app/d/charlottesville-portable-clothing-washer/7789799886.html,washer
5,> dryer <,0,https://charlottesville.craigslist.org/app/d/charlottesville-dryer/7788957390.html,dryer
6,new! portable washing machine,125,https://charlottesville.craigslist.org/app/d/louisa-new-portable-washing-machine/7785004466.html,missing
7,10.3 cu ft frost free refrigerator,100,https://charlottesville.craigslist.org/app/d/quinque-103-cu-ft-frost-free/7789693730.html,refrigerator
8,like new refrigerator,1300,https://charlottesville.craigslist.org/app/d/troy-like-new-refrigerator/7789689716.html,refrigerator
9,"new heat pumps, air conditioners, furnaces and mini-splits. financing",0,https://charlottesville.craigslist.org/ppd/d/new-heat-pumps-air-conditioners/7789658600.html,missing
10,new elite gourmet stainless steel slow cooker,25,https://charlottesville.craigslist.org/app/d/charlottesville-new-elite-gourmet/7788424593.html,missing
11,kitchenaid side-by-side refrigerator,900,https://charlottesville.craigslist.org/app/d/charlottesville-kitchenaid-side-by-side/7789612180.html,refrigerator
12,"toaster oven, microwave and food processor",50,https://charlottesville.craigslist.org/app/d/montpelier-station-toaster-oven/7782026974.html,toaster
13,whirlpool gas range,200,https://charlottesville.craigslist.org/app/d/charlottesville-whirlpool-gas-range/7789572737.html,missing
14,black electric portable heater,90,https://charlottesville.craigslist.org/app/d/greenwood-black-electric-portable-heater/7787090428.html,missing
15,oak vintage wrought iron ice cream palor set,150,https://charlottesville.craigslist.org/app/d/dyke-oak-vintage-wrought-iron-ice-cream/7782807715.html,missing
16,duo crisp + air fryer,75,https://charlottesville.craigslist.org/app/d/charlottesville-duo-crisp-air-fryer/7789529509.html,missing
17,new electrolux/frigidaire rack assembly #wci-530449147,30,https://charlottesville.craigslist.org/app/d/henrico-new-electrolux-frigidaire-rack/7789486477.html,missing
18,egg and muffin toaster,12,https://charlottesville.craigslist.org/app/d/crozet-egg-and-muffin-toaster/7789453013.html,toaster
19,kenmore humidifier,20,https://charlottesville.craigslist.org/app/d/ivy-kenmore-humidifier/7789448432.html,missing
20,like new frigidaire,250,https://charlottesville.craigslist.org/app/d/ivy-like-new-frigidaire/7789181813.html,missing
21,kenmore electric dryer,125,https://charlottesville.craigslist.org/app/d/charlottesville-kenmore-electric-dryer/7789046696.html,dryer
22,kenmore elite hood range microwave,125,https://charlottesville.craigslist.org/app/d/charlottesville-kenmore-elite-hood/7789046335.html,microwave
23,new electrolux ventless electric dryer,295,https://charlottesville.craigslist.org/app/d/charlottesville-new-electrolux-ventless/7789033341.html,dryer
24,mini wine fridge,100,https://charlottesville.craigslist.org/app/d/stanardsville-mini-wine-fridge/7789008895.html,fridge
25,martin industries gas fireplace,120,https://charlottesville.craigslist.org/app/d/quinque-martin-industries-gas-fireplace/7788520968.html,missing
26,holiday gas stove,120,https://charlottesville.craigslist.org/app/d/quinque-holiday-gas-stove/7788514324.html,stove
27,heat pump,500,https://charlottesville.craigslist.org/app/d/quinque-heat-pump/7788495882.html,missing
28,washer and dryer,250,https://charlottesville.craigslist.org/app/d/charlottesville-washer-and-dryer/7787692992.html,washer
29,mini fridge,85,https://charlottesville.craigslist.org/app/d/charlottesville-mini-fridge/7781157606.html,fridge
30,air fryer,60,https://charlottesville.craigslist.org/app/d/charlottesville-air-fryer/7786243886.html,missing
31,ge 1150watt microwave,75,https://charlottesville.craigslist.org/app/d/charlottesville-ge-1150watt-microwave/7785956640.html,microwave
32,refrigerator 4ft,95,https://charlottesville.craigslist.org/app/d/charlottesville-refrigerator-4ft/7787940270.html,refrigerator
33,automobile window tinting,0,https://charlottesville.craigslist.org/app/d/charlottesville-automobile-window/7787522081.html,missing
34,"8,000 btu air conditioner - almost brand new",125,https://charlottesville.craigslist.org/app/d/charlottesville-8000-btu-air/7787521612.html,missing
35,refrigerator,250,https://charlottesville.craigslist.org/app/d/waynesboro-refrigerator/7787497366.html,refrigerator
36,whirlpool dryer,25,https://charlottesville.craigslist.org/app/d/new-canton-whirlpool-dryer/7787208708.html,dryer
37,new whirlpool electric range,350,https://charlottesville.craigslist.org/app/d/leon-new-whirlpool-electric-range/7786991536.html,missing
38,air purifiers,65,https://charlottesville.craigslist.org/app/d/culpeper-air-purifiers/7778428314.html,missing
39,freezer - 1 door reach-in - migali,1000,https://charlottesville.craigslist.org/app/d/charlottesville-freezer-door-reach-in/7786924966.html,missing
40,"vizio 22"" 1080p full hdtv",60,https://charlottesville.craigslist.org/app/d/wingina-vizio-full-hdtv/7786905557.html,missing
41,"bosch dishwasher, kitchenaid gas range, amana dishwasher",325,https://charlottesville.craigslist.org/app/d/free-union-bosch-dishwasher-kitchenaid/7786828691.html,missing
42,electric 4qt casserole brand new,35,https://charlottesville.craigslist.org/app/d/bremo-bluff-electric-4qt-casserole/7777977261.html,missing
